event_id,origin_time,qlat,qlon,qdep,qmag,qmagtype
10000408,2017-02-13 07:12:32.020,33.2435,-116.008667,3.34,1.42,Ml
10000422,2017-02-13 11:24:20.800,33.222667,-115.634167,2.37,1.41,Ml
10001825,2017-02-21 11:37:25.500,32.8875,-115.502167,6.86,1.65,Ml
10002362,2017-02-17 23:19:33.210,33.178,-116.038,2.42,1.94,Ml
10004040,2017-02-25 05:14:22.400,32.954833,-115.5395,8.54,1.4,Ml
10004265,2017-02-26 04:57:36.940,32.884333,-115.517667,9.86,1.46,Ml
10004277,2017-02-26 06:21:22.430,33.174833,-115.606333,3.51,1.42,Ml
10004319,2017-02-26 14:57:54.110,32.964833,-116.0015,10.88,2.38,Ml
10004755,2017-02-28 04:25:06.340,32.89,-115.476667,5.6,1.78,Ml
10005208,2017-03-02 11:34:00.620,33.306833,-115.7185,5.2,1.48,Ml
10005283,2017-03-01 21:58:14.040,33.157333,-116.0865,10.57,1.66,Ml
10005290,2017-03-01 20:32:45.520,33.135667,-115.866,8.94,2.28,Ml
10005294,2017-03-01 20:18:39.150,33.134167,-115.862167,11.51,3.6,ML
10005704,2017-03-03 19:14:06.150,32.893167,-115.479,7.73,2.33,Ml
10006180,2017-03-05 07:30:12.380,33.145667,-116.011,3.18,2.38,Ml
10006358,2017-03-06 09:26:18.350,33.221,-116.082,9.49,1.66,Ml
10006649,2017-03-07 10:54:25.840,33.1475,-116.008833,4.12,1.58,Ml
10039939,2017-03-12 04:58:34.120,33.054833,-115.586833,7.91,1.4,Ml
10040249,2017-03-13 17:04:43.720,32.904667,-115.477833,7.19,1.97,Ml
10040442,2017-03-13 21:16:28.700,32.887167,-115.5235,7.9,1.82,Ml
10040443,2017-03-13 07:09:37.140,33.219,-115.569,1.08,1.64,Ml
10040646,2017-03-14 17:14:05.580,33.239,-116.0535,5.15,3.61,Mw
10040860,2017-03-15 08:43:22.910,33.240667,-116.056667,5.14,2.01,Ml
10040960,2017-03-15 19:00:23.020,33.240167,-116.052667,5.38,1.56,Ml
10041234,2017-03-16 03:55:31.220,33.242167,-116.058167,5.44,2.84,Ml
10041259,2017-03-16 08:22:30.950,33.243833,-116.057,5.55,1.63,Ml
