0,2,"[ 3.20266495  3.20514813  3.02129956  2.98385521  2.955791    2.96466154
  2.94362325  3.0661052   3.06974986  3.10956156  3.22061305  3.29176639
  3.352109    3.35377641  3.32422282  3.31950949  3.33272235  3.33477137
  3.36464112  3.40726552  3.44653785  3.52641971  3.56655716  3.62480873
  3.69606655  3.74931975  3.76957911  3.78264732  3.80997814  3.85337434
  3.87427784  3.89263685  3.91071785  3.90168993  3.92227454  3.91905373
  3.9373821   3.94161107  3.957129    3.99556575  4.01680183  4.01710071
  4.01235803  3.98548192  3.92705911  3.90600565  3.84451051  3.81499436
  3.77188402  3.73864755  3.69795377  3.67119111  3.65938772  3.60600548
  3.54463827  3.46427536  3.43466281  3.40712295  3.42421967  3.39850136
  3.42303579  3.4559522   3.49054497  3.47712601  3.46288416  3.45502859
  3.43252456  3.41071519  3.38121726  3.35930902  3.35808427  3.37169303
  3.36026336  3.3449766   3.31207618  3.27454444  3.21722853  3.16667943
  3.15995442  3.14648511  3.14875388  3.13595584  3.12521908  3.1087964
  3.10937573  3.08941762  3.07747189  3.05217744  3.04145838  3.04757346
  3.05150825  3.05097369  3.01743844  3.0005639   2.9801199   2.95933172
  2.920457    2.92063204  2.92990892  2.91913898  2.90800633  2.89302594
  2.90448081  2.90446116  2.8962729   2.88685923  2.87036821  2.87043386
  2.84379126  2.80880791  2.78642124  2.76827542  2.75449196  2.72785044
  2.69884395  2.66911364  2.64466737  2.61982385  2.59683908  2.57053519
  2.54582454  2.54310124  2.54077708  2.52371283  2.49733546  2.45400783
  2.3946877   2.32446544  2.22333954  2.15729311  2.0903353   2.00984398
  1.9500124   1.87939552  1.77002954  1.67309137  1.52831178  1.34182633
  1.17433121  0.90578805  0.69552503  0.50644286  0.33873029  0.08926004
 -0.22007469 -0.57569067 -0.85343537 -1.23616254 -1.71277431 -2.28479818
 -2.90279046]"
2,4,"[ 2.7566211   2.75923348  2.55841731  2.44630975  2.40408318  2.39917905
  2.35849617  2.3838577   2.3753494   2.33490683  2.38882784  2.44980549
  2.46369511  2.46380112  2.45279157  2.45435302  2.44162342  2.45018295
  2.44936622  2.47169408  2.47557893  2.49623401  2.50314084  2.51041829
  2.55142892  2.57091065  2.54176338  2.54721466  2.56473596  2.56685082
  2.58442109  2.61877294  2.61087191  2.60909658  2.58470968  2.57327791
  2.57308405  2.55187348  2.55032683  2.54994684  2.54636166  2.56040753
  2.5631195   2.55002562  2.53275373  2.51042915  2.49155714  2.48403254
  2.45747033  2.44375094  2.42303673  2.39842269  2.38572925  2.36458385
  2.33150248  2.30795149  2.29024668  2.25678368  2.24831297  2.24449375
  2.25218096  2.23512048  2.21198026  2.20579121  2.20954293  2.20640386
  2.20394327  2.20651552  2.18890396  2.18622753  2.18074311  2.1713178
  2.16286956  2.14826805  2.14551151  2.11201083  2.08302747  2.06368188
  2.04503227  2.02299643  2.00174617  1.97797244  1.95222734  1.9442985
  1.93135046  1.9181783   1.89515903  1.85182934  1.81252116  1.7919753
  1.7911724   1.78203725  1.76095265  1.74620705  1.73036577  1.70938242
  1.68130105  1.66568625  1.66068892  1.64294797  1.6142403   1.58772254
  1.56796639  1.54346614  1.5183951   1.49774265  1.48378424  1.46966407
  1.4438883   1.41585587  1.37503969  1.33653448  1.30906639  1.27711127
  1.24055249  1.20531369  1.17338272  1.15739083  1.14610189  1.12739175
  1.10598153  1.07642744  1.04924474  1.02865559  1.00978191  0.98007215
  0.9252788   0.85754363  0.79162124  0.7113197   0.64069003  0.55275178
  0.45367865  0.36001419  0.25240203  0.14070742  0.00708772 -0.16826244
 -0.32099586 -0.51892964 -0.74578313 -0.98512305 -1.21624504 -1.44128257
 -1.70459715 -1.99783277 -2.30844225 -2.65276887 -3.02446388 -3.47696303
 -3.88829063]"
4,6,"[ 2.64726494  2.6498968   2.39781194  2.26474617  2.2188358   2.20356347
  2.11260985  2.07995079  2.06338976  1.94764774  1.90807918  1.92440512
  1.9591986   1.98154315  2.00684576  2.01551857  2.03925541  2.04246596
  2.031598    2.02084252  2.02154934  2.05454113  2.06929763  2.07298831
  2.06656219  2.06207868  2.05024252  2.05848785  2.0669778   2.06838249
  2.08715006  2.10754032  2.12433201  2.13655094  2.12494375  2.10254447
  2.07033866  2.03853636  2.05260238  2.09655885  2.12574593  2.1518322
  2.15300226  2.13251751  2.10634605  2.08399808  2.06172336  2.04416196
  2.03297039  2.03098563  2.03148642  2.03137521  2.03010933  2.00824804
  1.97182888  1.92846644  1.87368424  1.82922573  1.8007267   1.78437361
  1.77421209  1.76243567  1.75489391  1.74739473  1.74296812  1.72367024
  1.70709722  1.69480842  1.67461639  1.65429056  1.63627064  1.6198798
  1.60566761  1.59164774  1.57486217  1.54546116  1.50389972  1.46654377
  1.43029528  1.39820039  1.37822353  1.36342512  1.34823045  1.34157423
  1.33195932  1.32325034  1.30861079  1.27773032  1.24602391  1.2328007
  1.23534101  1.23275717  1.219769    1.20497482  1.18823064  1.16940567
  1.15603568  1.14948923  1.15270227  1.14578363  1.13314131  1.12729622
  1.12066144  1.11636694  1.10788324  1.09580201  1.07215588  1.04063785
  1.00052479  0.95904102  0.91056824  0.86178026  0.81489284  0.76591404
  0.71892208  0.67562436  0.64160872  0.61764954  0.59418427  0.57845158
  0.56899076  0.55725563  0.53582048  0.51936599  0.50088438  0.46397747
  0.41105331  0.34233922  0.27631098  0.21255668  0.14587485  0.05869949
 -0.04400936 -0.1482579  -0.2702401  -0.40872046 -0.56143126 -0.73910127
 -0.91137613 -1.12058348 -1.32886387 -1.54836148 -1.76303566 -1.98200197
 -2.24664917 -2.56693044 -2.97224525 -3.40472569 -3.74867147 -4.04948068
 -4.27633727]"
6,8,"[ 2.45765065e+00  2.46130110e+00  2.23340222e+00  2.11833191e+00
  2.05167261e+00  2.01793256e+00  1.93727324e+00  1.87808423e+00
  1.87869723e+00  1.74229880e+00  1.67936938e+00  1.67563738e+00
  1.68957413e+00  1.70434175e+00  1.73001923e+00  1.74075447e+00
  1.74623463e+00  1.74545875e+00  1.74406801e+00  1.72861999e+00
  1.71927595e+00  1.72464248e+00  1.71759705e+00  1.71048619e+00
  1.71695467e+00  1.70850579e+00  1.70038597e+00  1.69138326e+00
  1.68191827e+00  1.66740618e+00  1.65415910e+00  1.64279331e+00
  1.62771998e+00  1.61150760e+00  1.59900309e+00  1.58472752e+00
  1.55645994e+00  1.53077474e+00  1.50647914e+00  1.48162752e+00
  1.46309485e+00  1.44929263e+00  1.43559486e+00  1.41448775e+00
  1.38555546e+00  1.35843366e+00  1.33390195e+00  1.31488963e+00
  1.29555252e+00  1.27414186e+00  1.25923632e+00  1.24844627e+00
  1.23796949e+00  1.22862506e+00  1.21179583e+00  1.17607745e+00
  1.13055743e+00  1.08907040e+00  1.06054096e+00  1.03523580e+00
  1.01134916e+00  9.95221481e-01  9.75315836e-01  9.51661844e-01
  9.34139035e-01  9.14898851e-01  9.00850371e-01  8.90062976e-01
  8.77826018e-01  8.67914391e-01  8.57265054e-01  8.41596153e-01
  8.25549313e-01  8.16905584e-01  8.09182281e-01  7.84709346e-01
  7.54354303e-01  7.31553742e-01  7.00099520e-01  6.74531360e-01
  6.54681709e-01  6.31101545e-01  6.06083404e-01  5.84933092e-01
  5.65874679e-01  5.47765399e-01  5.19833662e-01  4.76252453e-01
  4.32248588e-01  3.99046039e-01  3.81225553e-01  3.60548737e-01
  3.34808227e-01  3.09598548e-01  2.83353898e-01  2.54189915e-01
  2.25669651e-01  1.95426169e-01  1.69999963e-01  1.38038268e-01
  1.04651700e-01  7.33680172e-02  4.53911746e-02  2.21014351e-02
 -3.94956177e-03 -2.57306456e-02 -5.01393203e-02 -7.14395086e-02
 -8.98366312e-02 -1.07012980e-01 -1.35292200e-01 -1.63517061e-01
 -1.88170086e-01 -2.19911483e-01 -2.57251472e-01 -2.90972663e-01
 -3.23959377e-01 -3.51870513e-01 -3.68283542e-01 -3.90811200e-01
 -4.17698662e-01 -4.53740599e-01 -4.92663341e-01 -5.27601809e-01
 -5.59453496e-01 -6.05096647e-01 -6.67691537e-01 -7.42782686e-01
 -8.13651209e-01 -8.78073056e-01 -9.45412910e-01 -1.03430400e+00
 -1.13433047e+00 -1.24027886e+00 -1.35835758e+00 -1.48373663e+00
 -1.62520737e+00 -1.81280028e+00 -2.00501729e+00 -2.22777217e+00
 -2.43308366e+00 -2.65210144e+00 -2.86907002e+00 -3.06675682e+00
 -3.30077865e+00 -3.55681889e+00 -3.79095059e+00 -3.98904088e+00
 -4.14834500e+00 -4.26613927e+00 -4.34715362e+00]"
8,10,"[ 2.37690480e+00  2.38016337e+00  2.14135330e+00  2.02743967e+00
  1.94723427e+00  1.90976601e+00  1.82476848e+00  1.73760535e+00
  1.74941259e+00  1.59792949e+00  1.51167421e+00  1.49115827e+00
  1.48007858e+00  1.47412812e+00  1.49781304e+00  1.51004150e+00
  1.52531714e+00  1.52884481e+00  1.53690187e+00  1.52989236e+00
  1.53310799e+00  1.53628702e+00  1.52633201e+00  1.50957213e+00
  1.49590571e+00  1.48366176e+00  1.47804567e+00  1.46643720e+00
  1.45378086e+00  1.43802655e+00  1.41580616e+00  1.38893470e+00
  1.37063682e+00  1.35128508e+00  1.32959448e+00  1.29804135e+00
  1.25726425e+00  1.22033217e+00  1.19167882e+00  1.16337091e+00
  1.13813139e+00  1.11110600e+00  1.09036143e+00  1.06707647e+00
  1.03835446e+00  1.01076467e+00  9.89995640e-01  9.74606603e-01
  9.60712612e-01  9.43086549e-01  9.35497885e-01  9.31961724e-01
  9.25496475e-01  9.09095282e-01  8.89155978e-01  8.57583889e-01
  8.16982544e-01  7.78660504e-01  7.49920610e-01  7.22251083e-01
  6.98512838e-01  6.79190524e-01  6.55564847e-01  6.23919877e-01
  5.92516538e-01  5.67647867e-01  5.45584880e-01  5.23360001e-01
  5.05376841e-01  4.92191454e-01  4.75520990e-01  4.51563763e-01
  4.28423474e-01  4.08246296e-01  3.85568982e-01  3.53867949e-01
  3.22385713e-01  2.95680475e-01  2.61514507e-01  2.26355496e-01
  1.98552493e-01  1.70304445e-01  1.41071074e-01  1.16609362e-01
  9.62353070e-02  7.76582255e-02  4.76544017e-02  2.45135899e-03
 -4.03343364e-02 -6.83208675e-02 -8.96274246e-02 -1.16399620e-01
 -1.41726179e-01 -1.68414261e-01 -1.93844890e-01 -2.21918336e-01
 -2.55029595e-01 -2.87673447e-01 -3.15731155e-01 -3.44798269e-01
 -3.70441831e-01 -3.99272645e-01 -4.24154768e-01 -4.46273135e-01
 -4.72386688e-01 -4.94220354e-01 -5.18547527e-01 -5.40801448e-01
 -5.61272794e-01 -5.81401308e-01 -6.13323239e-01 -6.46270083e-01
 -6.76904191e-01 -7.13889453e-01 -7.53028878e-01 -7.86885388e-01
 -8.26355254e-01 -8.59003997e-01 -8.84003616e-01 -9.09671684e-01
 -9.37193471e-01 -9.69518786e-01 -9.98530258e-01 -1.02503408e+00
 -1.05341005e+00 -1.08843551e+00 -1.13430492e+00 -1.19338477e+00
 -1.24782875e+00 -1.29813494e+00 -1.35066336e+00 -1.42420867e+00
 -1.51615320e+00 -1.61546400e+00 -1.71576725e+00 -1.82361126e+00
 -1.94072098e+00 -2.09463469e+00 -2.27464430e+00 -2.46614392e+00
 -2.63144952e+00 -2.80859595e+00 -2.98866214e+00 -3.13414353e+00
 -3.32638882e+00 -3.53366644e+00 -3.74103290e+00 -3.93306394e+00
 -4.08927064e+00 -4.20385309e+00 -4.28040079e+00]"
10,12,"[ 2.45385374  2.4572963   2.22153953  2.11369056  2.0277435   1.99015945
  1.91007317  1.81445658  1.83231248  1.699381    1.61669104  1.58654766
  1.56299767  1.5455403   1.55703629  1.55558892  1.55532771  1.55120248
  1.55844951  1.5507803   1.54505117  1.53736002  1.52474534  1.50320193
  1.48483037  1.46561887  1.45299436  1.43634701  1.41569535  1.38592037
  1.35467587  1.31973176  1.28909148  1.25937353  1.23077027  1.1990711
  1.1618891   1.11977528  1.07475466  1.02805678  0.99142511  0.95940669
  0.93889458  0.91245804  0.88336741  0.85736389  0.83800457  0.82350176
  0.81055026  0.79184063  0.77907505  0.76819316  0.75377215  0.73230476
  0.70578245  0.66799267  0.62252527  0.57810607  0.54273027  0.5088063
  0.47523877  0.4467735   0.41991326  0.38441396  0.34885384  0.31908044
  0.28913349  0.25869589  0.23214563  0.20316306  0.17130978  0.13690095
  0.10541738  0.07515493  0.04566715  0.01267028 -0.0209215  -0.05387224
 -0.09335341 -0.13227122 -0.16662167 -0.20279678 -0.23619359 -0.26619522
 -0.29731052 -0.32391622 -0.3570077  -0.40588409 -0.4510583  -0.48257037
 -0.5106407  -0.54504918 -0.57615079 -0.60717449 -0.64001886 -0.67503645
 -0.7137307  -0.75746144 -0.79732843 -0.83750824 -0.87095374 -0.90554381
 -0.93798189 -0.96634526 -0.99594689 -1.01602866 -1.03817675 -1.06458831
 -1.09093691 -1.11395631 -1.14177017 -1.17189845 -1.20559282 -1.24332459
 -1.27970447 -1.3122253  -1.34585402 -1.3722796  -1.39930149 -1.42469083
 -1.44783708 -1.47550803 -1.5031188  -1.52803313 -1.55368062 -1.58839728
 -1.63135452 -1.68181433 -1.72895347 -1.77532998 -1.82628294 -1.89694781
 -1.98514994 -2.08356402 -2.19026966 -2.30451082 -2.41595072 -2.55247884
 -2.7066942  -2.87382314 -3.02257815 -3.18352935 -3.3477979  -3.49050961
 -3.66442848 -3.83731242 -3.99292798 -4.1193605  -4.20484597 -4.26321998
 -4.31846644]"
12,14,"[ 2.34559134  2.34561443  2.10606027  1.98979618  1.89485785  1.85515384
  1.76204207  1.63788717  1.6483894   1.48635176  1.36610269  1.3276651
  1.29629966  1.27105359  1.27373097  1.25566019  1.24654167  1.23144776
  1.22651527  1.20620102  1.19122722  1.17641484  1.16637567  1.14871872
  1.1331051   1.11472766  1.10037953  1.08183347  1.06592084  1.04056792
  1.01652359  0.98796592  0.96552634  0.94534607  0.92570259  0.89669601
  0.85600339  0.81143881  0.76834411  0.72352511  0.68741348  0.65658664
  0.63364471  0.60765053  0.57825276  0.55119319  0.5248884   0.49875689
  0.47768936  0.45248595  0.43115651  0.41030486  0.38806959  0.36254815
  0.33677008  0.30446775  0.26689157  0.22539105  0.18656478  0.14613201
  0.10693143  0.0708497   0.03630138 -0.00509426 -0.0472127  -0.08512609
 -0.12114203 -0.15858283 -0.19193844 -0.22631095 -0.26121456 -0.29741353
 -0.32844848 -0.36155531 -0.40097826 -0.44227166 -0.47842474 -0.51244847
 -0.54728114 -0.57846904 -0.60900448 -0.64376492 -0.67827477 -0.71199501
 -0.74611583 -0.77835768 -0.81212169 -0.85180257 -0.89109849 -0.92162017
 -0.94716923 -0.97750523 -1.00737864 -1.03850655 -1.07364347 -1.11264591
 -1.15082387 -1.19221703 -1.23166755 -1.27442303 -1.31172143 -1.35126027
 -1.39437571 -1.43078341 -1.4612934  -1.48487385 -1.50925069 -1.53306537
 -1.5536221  -1.56700688 -1.5860057  -1.6071504  -1.63115254 -1.65983556
 -1.68492571 -1.70271908 -1.7229007  -1.74132718 -1.76244491 -1.78463262
 -1.80563706 -1.8324456  -1.85737082 -1.87944157 -1.90975478 -1.94827339
 -1.99137875 -2.04000638 -2.08485447 -2.13055098 -2.18638956 -2.26409413
 -2.35073121 -2.44478351 -2.54718318 -2.65424495 -2.76320209 -2.89195806
 -3.03807028 -3.19373653 -3.32434989 -3.46603362 -3.61170465 -3.73920794
 -3.88333092 -4.02489149 -4.13935362 -4.21560872 -4.26367154 -4.29684614
 -4.32563796]"
14,16,"[ 2.345592    2.34637178  2.09274779  1.97276255  1.86413323  1.80978971
  1.71388074  1.58321215  1.60055238  1.41593289  1.2663893   1.22036846
  1.1878137   1.15712974  1.15166622  1.13269238  1.12789526  1.11076463
  1.1076953   1.0897274   1.08184843  1.06659407  1.06464168  1.0541627
  1.04419924  1.02752723  1.01334838  0.98982415  0.97091836  0.94289261
  0.90911654  0.87237586  0.84290653  0.81449227  0.79232785  0.76788896
  0.73491258  0.68802635  0.63837601  0.58870208  0.54408766  0.4915971
  0.45269887  0.42209837  0.39036492  0.35607749  0.31810178  0.2782067
  0.24505853  0.21006475  0.1748496   0.137321    0.10682453  0.07726623
  0.0471011   0.01456415 -0.01542032 -0.05160985 -0.08862871 -0.1305757
 -0.17722769 -0.22260001 -0.26581509 -0.31663525 -0.36820944 -0.41422392
 -0.45584705 -0.49306809 -0.52982338 -0.57169213 -0.61292875 -0.65590658
 -0.69571397 -0.73799307 -0.78104483 -0.82299668 -0.86193156 -0.89889219
 -0.93868298 -0.9766229  -1.01014736 -1.04403215 -1.07698053 -1.11258377
 -1.14986747 -1.18523404 -1.22058372 -1.26352335 -1.30954089 -1.34870316
 -1.38452544 -1.42318668 -1.45785545 -1.49039319 -1.52571669 -1.56647979
 -1.60694058 -1.64841567 -1.68425099 -1.7216528  -1.75727902 -1.79318404
 -1.8284335  -1.85775661 -1.88399248 -1.90387923 -1.92113791 -1.94224534
 -1.96271633 -1.97228553 -1.98500159 -2.00318024 -2.02029726 -2.03961633
 -2.05444888 -2.06379138 -2.07475093 -2.08795822 -2.10078335 -2.11477023
 -2.12784479 -2.14416988 -2.16015445 -2.17565011 -2.19497926 -2.22391315
 -2.25974181 -2.30177081 -2.34268789 -2.38549771 -2.43277612 -2.49741516
 -2.57299241 -2.65971919 -2.75284248 -2.85747365 -2.96684319 -3.08663831
 -3.21284576 -3.35356246 -3.47679957 -3.61132245 -3.75127855 -3.88504019
 -4.01702001 -4.13622761 -4.21781722 -4.25385774 -4.29154382 -4.31277924
 -4.32903015]"
16,18,"[ 2.23515939  2.23424771  1.98347887  1.88060228  1.77515402  1.71595659
  1.60158234  1.44354805  1.45600992  1.24845598  1.07885626  1.02551001
  1.00544596  0.97989351  0.96793252  0.93736331  0.92876632  0.89683593
  0.87793823  0.84843667  0.82526586  0.79694378  0.7926564   0.7827966
  0.76478403  0.74119847  0.72620299  0.70206529  0.67940074  0.64234203
  0.60398528  0.56298001  0.53069571  0.49363967  0.46782236  0.44193213
  0.41245647  0.36780871  0.32910886  0.28597246  0.23819029  0.18959242
  0.15016212  0.10638406  0.05991912  0.01837519 -0.02105796 -0.05526052
 -0.08603224 -0.12387982 -0.16416334 -0.20922617 -0.25136833 -0.29021204
 -0.32389139 -0.35327215 -0.37917468 -0.41056183 -0.44331611 -0.47879359
 -0.51918125 -0.56079772 -0.6042475  -0.65679773 -0.70320232 -0.74695877
 -0.78908692 -0.82823257 -0.86494296 -0.90424844 -0.94669636 -0.98996189
 -1.02716203 -1.0642413  -1.09956916 -1.12636896 -1.15308966 -1.18168042
 -1.21289842 -1.24569841 -1.2754288  -1.30273616 -1.32741655 -1.3537395
 -1.38653523 -1.42167864 -1.45199934 -1.48523164 -1.52348527 -1.56152378
 -1.59739028 -1.6328387  -1.66127231 -1.6907014  -1.72256996 -1.75594622
 -1.79166096 -1.82673248 -1.85345126 -1.87904442 -1.90236334 -1.92619005
 -1.94817748 -1.96293439 -1.97393181 -1.9761775  -1.97854854 -1.98611245
 -1.99586363 -1.99735324 -2.00051941 -2.00748443 -2.01839465 -2.03148615
 -2.04029059 -2.04358343 -2.04776766 -2.05502803 -2.06629786 -2.08131016
 -2.09532712 -2.11599178 -2.13709282 -2.15648587 -2.18238888 -2.21667556
 -2.25169164 -2.29126383 -2.32509311 -2.36893305 -2.42568549 -2.49515495
 -2.56753555 -2.64660593 -2.73017119 -2.82304551 -2.91904875 -3.03186454
 -3.15880466 -3.29512374 -3.41438446 -3.54206435 -3.68250085 -3.83049955
 -3.96650198 -4.08503059 -4.17157727 -4.23088271 -4.27966224 -4.31348059
 -4.34563577]"
18,20,"[ 2.09580117  2.09591119  1.85642725  1.75356162  1.63780512  1.57627663
  1.46958341  1.30402564  1.32217363  1.09606695  0.93125817  0.88175074
  0.85598463  0.83298317  0.82856385  0.79327243  0.77124112  0.75374374
  0.74089372  0.69663462  0.67272018  0.6319397   0.61084277  0.59496795
  0.58287532  0.56038681  0.5553464   0.54350518  0.52518615  0.4867979
  0.45372215  0.41469132  0.38475571  0.34678665  0.31154939  0.26703637
  0.24136242  0.20407024  0.17509277  0.12899896  0.06957201  0.01695227
 -0.02085773 -0.05774124 -0.09983134 -0.14934713 -0.19962417 -0.24976448
 -0.29360767 -0.31483445 -0.33952854 -0.37924215 -0.42121252 -0.45948256
 -0.50311436 -0.5224735  -0.54610925 -0.56945796 -0.5911468  -0.61550412
 -0.65563841 -0.70332114 -0.7456086  -0.79645364 -0.83974516 -0.88383429
 -0.93901773 -1.006834   -1.0546238  -1.08595332 -1.12900459 -1.18405523
 -1.22858181 -1.26531324 -1.30748122 -1.33404085 -1.36109593 -1.39641955
 -1.43085162 -1.46794082 -1.49587609 -1.51414444 -1.53283603 -1.55643586
 -1.5832927  -1.60562486 -1.62970428 -1.66113805 -1.69210771 -1.71712561
 -1.75222519 -1.79333576 -1.82343228 -1.85869205 -1.89213105 -1.92295221
 -1.95039287 -1.98617516 -2.03283179 -2.07639464 -2.08516562 -2.09771071
 -2.11311727 -2.11219196 -2.09382123 -2.08177777 -2.07566567 -2.08341886
 -2.09210387 -2.09582754 -2.09408344 -2.09292588 -2.09578725 -2.08221074
 -2.0707545  -2.0623991  -2.06541688 -2.09274438 -2.14188711 -2.16777818
 -2.18718071 -2.22814519 -2.27591122 -2.31482472 -2.35109024 -2.38525684
 -2.41209212 -2.44764858 -2.48738138 -2.52908074 -2.57356691 -2.64360031
 -2.7191327  -2.7975609  -2.87511664 -2.97017412 -3.10079838 -3.20765179
 -3.30142143 -3.42351107 -3.5427585  -3.62723589 -3.79509228 -3.91065839
 -4.00363496 -4.10271254 -4.19164121 -4.20135947 -4.23576559 -4.27276219
 -4.29518452]"
