net,sta,loc,cha,slat,slon,sele,sampling_rate,units
AZ,ASBS,,HHZ,33.6208,-116.4664,1400.0,100.0,M/S
AZ,BZN,,HHZ,33.4915,-116.667,1301.0,100.0,m/s
AZ,CPE,,HHZ,32.888901,-117.105103,150.0,100.0,M/S
AZ,CRON,,HHZ,33.6118,-116.4597,1268.0,100.0,m/s
AZ,CRY,,HHZ,33.5654,-116.7373,1128.0,100.0,m/s
AZ,ELKS,,HHZ,33.581299,-116.4496,1169.0,100.0,M/S
AZ,FLV2,,HHZ,32.9114,-117.061897,278.0,100.0,M/S
AZ,FLV2,50,HHZ,32.9114,-117.061897,278.0,100.0,M/S
AZ,FRD,,HHZ,33.494701,-116.602203,1164.0,100.0,M/S
AZ,FSE,,HHZ,33.005699,-116.592598,1708.0,100.0,M/S
AZ,GLAC,,HHZ,33.601398,-116.478104,1169.0,100.0,M/S
AZ,GLAM,,HHZ,33.0512,-114.827,579.0,100.0,m/s
AZ,HWB,,HHZ,33.026199,-116.959602,478.0,100.0,M/S
AZ,JOHN,,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,JOHN,01,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,JOSE,,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,JOSE,01,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,KNW,,HHZ,33.7141,-116.7119,1507.0,100.0,m/s
AZ,LVA2,,HHZ,33.351601,-116.561501,1435.0,100.0,M/S
AZ,MONP,,HHZ,32.8927,-116.422501,1920.0,100.0,M/S
AZ,MONP2,,HHZ,32.891998,-116.422302,1875.0,100.0,M/S
AZ,PFO,,HHZ,33.611698,-116.459396,1259.0,100.0,M/S
AZ,RDM,,HHZ,33.630001,-116.847801,1365.0,100.0,M/S
AZ,SCV1,T1,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,SCV1,T2,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,SCV2,T3,HHZ,33.611801,-116.459702,1268.0,100.0,M/S
AZ,SHUM,,HHZ,33.632702,-116.444504,1195.0,100.0,M/S
AZ,SMER,,HHZ,33.457699,-117.170799,355.7,100.0,M/S
AZ,SMER2,,HHZ,33.457699,-117.170799,355.0,100.0,M/S
AZ,SMER2,50,HHZ,33.457699,-117.170799,355.0,100.0,M/S
AZ,SMTC,,HHZ,32.944901,-115.799896,100.0,100.0,M/S
AZ,SND,,HHZ,33.551899,-116.6129,1358.0,100.0,M/S
AZ,STS2,,HHZ,33.6118,-116.4597,1268.0,100.0,m/s
AZ,TRIL,,HHZ,33.6118,-116.4597,1268.0,100.0,m/s
AZ,TRO,,HHZ,33.5234,-116.4257,2628.0,100.0,m/s
AZ,WMC,,HHZ,33.5736,-116.6747,1271.0,100.0,m/s
AZ,YAQ,,HHZ,33.166599,-116.353897,430.0,100.0,M/S
BC,AGSX,,HHZ,32.2658,-115.1605,0.0,100.0,m/s
BC,ALAMX,,HHZ,32.0075,-115.7083,325.0,100.0,m/s
BC,CBX,,HHZ,32.3131,-116.6636,1250.0,100.0,m/s
BC,CPX,,HHZ,32.4195,-115.305,192.0,100.0,m/s
BC,GUVIX,,HHZ,32.3029,-115.076,10.0,100.0,m/s
BC,JARAX,,HHZ,32.5378,-115.5815,0.0,100.0,m/s
BC,PESCX,,HHZ,32.4338,-114.9649,0.0,100.0,m/s
BC,RHX,,HHZ,32.135,-115.2843,16.0,100.0,m/s
BC,RITX,,HHZ,32.166,-114.96158,9.0,100.0,m/s
